0,0,0,0
0,0,1,2
0,0,2,2
0,0,3,2
0,0,4,4
0,0,5,2
0,0,6,2
0,0,7,3
0,0,8,2
0,0,9,0
0,0,10,3
0,0,11,2
0,0,12,1
0,0,13,2
0,0,14,3
0,0,15,1
0,0,16,3
0,0,17,0
0,0,18,1
0,0,19,4
0,0,20,4
0,0,21,4
0,0,22,1
0,0,23,3
0,0,24,3
0,0,25,1
0,0,26,3
0,0,27,0
0,0,28,3
0,0,29,2
0,0,30,2
0,0,31,0
0,0,32,2
0,0,33,0
0,0,34,0
0,0,35,0
0,0,36,4
0,0,37,4
0,0,38,4
0,0,39,4
0,0,40,3
0,0,41,2
0,0,42,4
0,0,43,0
0,0,44,4
0,0,45,0
0,0,46,4
0,0,47,3
0,1,0,1
0,1,1,0
0,1,2,0
0,1,3,1
0,1,4,2
0,1,5,4
0,1,6,0
0,1,7,3
0,1,8,1
0,1,9,1
0,1,10,1
0,1,11,0
0,1,12,4
0,1,13,3
0,1,14,4
0,1,15,4
0,1,16,4
0,1,17,4
0,1,18,4
0,1,19,1
0,1,20,4
0,1,21,2
0,1,22,0
0,1,23,2
0,1,24,1
0,1,25,2
0,1,26,3
0,1,27,0
0,1,28,2
0,1,29,4
0,1,30,2
0,1,31,0
0,1,32,2
0,1,33,1
0,1,34,4
0,1,35,0
0,1,36,0
0,1,37,4
0,1,38,1
0,1,39,4
0,1,40,3
0,1,41,2
0,1,42,4
0,1,43,4
0,1,44,3
0,1,45,0
0,1,46,3
0,1,47,2
1,0,0,4
1,0,1,2
1,0,2,0
1,0,3,2
1,0,4,2
1,0,5,2
1,0,6,2
1,0,7,3
1,0,8,0
1,0,9,2
1,0,10,2
1,0,11,0
1,0,12,2
1,0,13,3
1,0,14,4
1,0,15,3
1,0,16,2
1,0,17,4
1,0,18,1
1,0,19,0
1,0,20,1
1,0,21,4
1,0,22,3
1,0,23,4
1,0,24,0
1,0,25,3
1,0,26,3
1,0,27,3
1,0,28,0
1,0,29,1
1,0,30,3
1,0,31,2
1,0,32,1
1,0,33,2
1,0,34,3
1,0,35,0
1,0,36,2
1,0,37,2
1,0,38,0
1,0,39,4
1,0,40,4
1,0,41,0
1,0,42,4
1,0,43,1
1,0,44,0
1,0,45,1
1,0,46,1
1,0,47,1
1,1,0,2
1,1,1,3
1,1,2,3
1,1,3,4
1,1,4,2
1,1,5,2
1,1,6,1
1,1,7,4
1,1,8,3
1,1,9,4
1,1,10,1
1,1,11,4
1,1,12,0
1,1,13,0
1,1,14,1
1,1,15,3
1,1,16,3
1,1,17,2
1,1,18,4
1,1,19,1
1,1,20,4
1,1,21,2
1,1,22,0
1,1,23,4
1,1,24,4
1,1,25,4
1,1,26,4
1,1,27,3
1,1,28,2
1,1,29,1
1,1,30,3
1,1,31,4
1,1,32,3
1,1,33,0
1,1,34,1
1,1,35,0
1,1,36,4
1,1,37,4
1,1,38,0
1,1,39,4
1,1,40,4
1,1,41,1
1,1,42,2
1,1,43,3
1,1,44,4
1,1,45,0
1,1,46,2
1,1,47,0
